#,Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,K/9,BB/9,K/BB,HR/9,AVG,WHIP,BABIP,LOB%,ERA,FIP,ADP
145,Frankie Montas,NYM,19,19,104,7,6,10,0,0,92,45,13,103,42,8.87,3.63,2.45,1.13,0.228,1.28,0.275,73.40%,3.87,4.18,418
146,Ryan Walker,SFG,0,68,68,4,3,0,28,5,54,22,6,80,23,10.55,3.1,3.4,0.78,0.212,1.14,0.285,76.90%,2.93,3.11,84.6
147,Tanner Scott,LAD,0,66,66,3,3,0,25,8,48,21,6,82,30,11.12,4.11,2.7,0.78,0.199,1.18,0.274,78.10%,2.92,3.34,117
148,Kutter Crawford,BOS,18,53,133,3,3,10,0,1,124,64,21,125,39,8.43,2.64,3.2,1.41,0.243,1.23,0.283,69.90%,4.3,4.33,340.9
149,Kyle Wright,KCR,13,35,94,2,2,7,0,1,96,43,9,80,31,7.69,2.95,2.6,0.89,0.262,1.36,0.312,69.90%,4.17,3.87,674.5
150,Matt Strahm,PHI,0,67,67,4,3,0,3,12,51,24,9,80,19,10.68,2.56,4.18,1.15,0.208,1.05,0.269,76.60%,3.16,3.43,480
151,Jose Quintana,MIL,24,24,133,8,9,12,0,0,132,65,18,109,48,7.39,3.27,2.26,1.23,0.25,1.36,0.284,70.50%,4.4,4.53,537.3
152,Josh Hader,HOU,0,68,68,4,3,0,33,2,47,23,8,92,28,12.14,3.7,3.28,1.08,0.191,1.1,0.267,78.10%,3.06,3.4,40
153,Mitchell Parker,WSN,26,36,148,6,7,12,0,1,143,75,20,123,58,7.49,3.56,2.1,1.24,0.251,1.36,0.287,69.10%,4.56,4.61,488.8
154,Simeon Woods Richardson,MIN,26,26,130,8,10,12,0,0,127,64,18,109,48,7.56,3.35,2.26,1.22,0.25,1.35,0.287,69.90%,4.45,4.51,513
155,Alec Marsh,KCR,18,36,110,3,4,9,0,1,109,54,14,102,42,8.37,3.39,2.47,1.15,0.254,1.37,0.304,70.00%,4.42,4.24,622.5
156,Aroldis Chapman,BOS,0,63,63,3,3,0,12,9,45,22,5,90,36,12.84,5.08,2.53,0.78,0.196,1.28,0.295,77.60%,3.13,3.29,285.3
157,Marcus Stroman,NYY,23,44,145,4,5,11,0,1,148,74,18,109,53,6.73,3.28,2.05,1.13,0.26,1.38,0.293,68.50%,4.58,4.53,564.8
158,Kyle Gibson,,23,23,128,7,8,10,0,0,134,67,17,101,45,7.12,3.18,2.24,1.19,0.264,1.4,0.302,68.50%,4.68,4.49,669.3
159,Jeff Hoffman,TOR,0,65,65,3,3,0,26,4,48,22,7,78,23,10.74,3.25,3.3,0.95,0.203,1.1,0.27,77.10%,3.01,3.36,103.6
160,Kyle Freeland,COL,28,28,150,7,12,10,0,0,174,90,25,105,42,6.3,2.55,2.47,1.51,0.287,1.45,0.313,65.00%,5.43,4.92,750.2
161,Bryan Abreu,HOU,0,72,72,4,4,0,2,14,55,26,8,91,30,11.4,3.77,3.03,0.95,0.206,1.18,0.283,76.80%,3.19,3.39,452.5
162,Zebby Matthews,MIN,11,39,89,2,2,7,0,1,87,38,12,85,20,8.59,2,4.29,1.22,0.246,1.2,0.292,72.30%,3.86,3.8,414.9
163,Luis Gil,NYY,16,29,99,4,3,9,0,1,78,42,13,112,48,10.17,4.39,2.31,1.22,0.209,1.27,0.261,75.30%,3.77,4.28,218.8
164,Chase Dollander,COL,18,18,94,6,7,8,0,0,89,48,13,97,44,9.27,4.25,2.18,1.28,0.244,1.42,0.297,70.70%,4.59,4.53,999
165,Justin Martinez,ARI,0,67,67,4,3,0,17,9,51,22,4,84,36,11.31,4.88,2.32,0.56,0.207,1.3,0.297,77.00%,3.01,3.24,187.6
166,Chris Paddack,MIN,16,55,125,3,3,9,0,1,125,60,18,112,35,8.09,2.49,3.25,1.29,0.254,1.28,0.296,70.00%,4.31,4.18,552.1
167,Jack Leiter,TEX,18,39,111,3,3,10,0,1,98,50,15,117,51,9.5,4.16,2.28,1.2,0.227,1.34,0.278,73.60%,4.05,4.32,529.4
168,Lance Lynn,,21,21,118,7,8,10,0,0,116,59,18,105,40,8.01,3.05,2.63,1.36,0.251,1.32,0.289,69.70%,4.52,4.5,604.5
169,Steven Matz,STL,18,42,115,3,3,9,0,1,115,55,14,97,37,7.55,2.86,2.64,1.12,0.255,1.32,0.297,69.80%,4.28,4.18,637.9
170,Chris Martin,TEX,0,58,58,3,3,0,20,6,52,22,6,59,14,9.22,2.12,4.35,0.99,0.233,1.13,0.29,73.80%,3.36,3.37,317.7
171,Austin Gomber,COL,26,26,143,7,11,10,0,0,163,86,24,100,39,6.32,2.48,2.55,1.54,0.285,1.42,0.309,64.70%,5.41,4.95,745.4
172,Colin Rea,CHC,19,31,125,4,4,10,0,1,125,61,18,101,36,7.27,2.57,2.83,1.3,0.254,1.29,0.286,69.50%,4.39,4.41,597.1
173,Clayton Kershaw,LAD,13,13,68,5,4,7,0,0,61,29,9,63,20,8.4,2.62,3.2,1.21,0.236,1.2,0.278,71.90%,3.89,4.05,518.9
174,Trevor Megill,MIL,0,64,64,3,3,0,28,2,49,22,7,79,26,11.11,3.64,3.05,1,0.203,1.17,0.271,77.80%,3.14,3.5,129.8
175,Rhett Lowder,CIN,18,42,116,3,4,9,0,1,118,60,16,90,41,6.98,3.18,2.2,1.23,0.261,1.37,0.294,67.90%,4.68,4.58,489.8
176,Joey Cantillo,CLE,16,33,99,3,3,9,0,1,86,43,11,99,46,9,4.16,2.16,1,0.23,1.33,0.284,72.80%,3.91,4.14,443.5
177,Michael Soroka,WSN,15,52,119,3,3,8,0,1,114,57,15,110,46,8.35,3.49,2.39,1.17,0.247,1.35,0.293,70.90%,4.3,4.31,508.8
178,Raisel Iglesias,ATL,0,68,68,4,3,0,32,1,56,25,8,74,20,9.75,2.6,3.75,1.02,0.221,1.11,0.281,74.60%,3.31,3.46,51.1
179,Javier Assad,CHC,21,45,137,4,4,11,0,1,132,66,17,115,53,7.55,3.49,2.16,1.13,0.246,1.35,0.285,70.40%,4.3,4.42,630.9
180,Osvaldo Bido,ATH,16,42,113,3,3,9,0,1,100,49,14,110,46,8.76,3.63,2.41,1.14,0.229,1.29,0.274,73.50%,3.89,4.22,437
181,JP Sears,ATH,31,31,175,9,12,14,0,0,175,91,29,142,50,7.33,2.59,2.83,1.52,0.255,1.29,0.283,68.40%,4.7,4.72,493.8
182,Tyler Anderson,LAA,29,29,170,9,12,13,0,0,168,91,28,132,63,7.02,3.34,2.1,1.47,0.253,1.36,0.278,68.20%,4.84,4.98,498.3
183,Hayden Wesneski,HOU,13,49,106,3,2,8,0,1,96,46,14,100,35,8.47,2.94,2.88,1.2,0.235,1.24,0.278,72.30%,3.93,4.12,413.7
184,Hayden Birdsong,SFG,18,40,107,3,3,10,0,1,91,46,12,117,53,9.82,4.46,2.2,1,0.226,1.35,0.289,73.40%,3.89,4.06,413.6
185,Antonio Senzatela,COL,23,42,133,3,6,9,0,1,155,79,19,94,46,6.33,3.1,2.04,1.3,0.287,1.51,0.318,65.80%,5.34,4.81,999
186,Jeremiah Estrada,SDP,0,63,63,3,3,0,3,14,44,21,7,86,29,12.22,4.12,2.96,0.95,0.193,1.16,0.275,78.30%,3.04,3.35,439.1
187,Bubba Chandler,PIT,15,15,73,5,5,7,0,0,67,33,8,71,34,8.75,4.22,2.07,1,0.239,1.39,0.292,72.20%,4.12,4.23,298.9
188,Pete Fairbanks,TBR,0,60,60,3,3,0,22,7,46,20,6,69,23,10.42,3.51,2.96,0.85,0.207,1.16,0.273,77.30%,3.02,3.39,144.7
189,Cade Cavalli,WSN,13,28,82,2,2,7,0,1,77,38,10,80,33,8.76,3.67,2.39,1.12,0.242,1.34,0.293,71.70%,4.17,4.2,622.3
190,Garrett Whitlock,BOS,0,67,67,4,3,0,2,16,61,26,7,68,17,9.16,2.29,4,1.01,0.236,1.16,0.293,73.20%,3.51,3.47,554.5
191,Jordan Montgomery,ARI,16,42,118,3,3,8,0,1,125,60,15,92,36,6.99,2.71,2.58,1.12,0.268,1.36,0.307,68.00%,4.56,4.27,448.5
192,Ben Joyce,LAA,0,62,62,3,3,0,7,10,45,21,5,75,32,10.95,4.59,2.39,0.8,0.198,1.24,0.27,77.80%,3.05,3.56,269.3
193,Robert Garcia,TEX,0,64,64,3,3,0,8,10,53,24,7,73,24,10.25,3.41,3.01,0.97,0.218,1.2,0.283,75.40%,3.37,3.56,531.5
194,Bailey Falter,PIT,19,43,126,3,4,9,0,1,128,64,18,94,37,6.66,2.63,2.53,1.3,0.258,1.31,0.286,68.10%,4.57,4.57,705
195,A.J. Puk,ARI,0,64,64,3,3,0,17,7,52,23,7,75,23,10.5,3.18,3.3,0.96,0.217,1.17,0.286,75.70%,3.27,3.41,246
196,Bryse Wilson,CHW,13,39,100,2,2,7,0,1,101,49,14,80,30,7.22,2.67,2.71,1.31,0.254,1.31,0.286,69.90%,4.43,4.47,746.6
197,DJ Herz,WSN,19,36,111,4,4,10,0,1,96,53,14,114,60,9.26,4.84,1.91,1.15,0.229,1.4,0.282,72.10%,4.29,4.54,320.5
198,Jason Adam,SDP,0,67,67,4,3,0,3,12,50,23,7,75,24,10.04,3.29,3.05,0.99,0.205,1.12,0.263,76.50%,3.13,3.59,336.8
199,Aaron Bummer,ATL,0,61,61,3,3,0,1,14,52,22,5,71,25,10.43,3.69,2.82,0.67,0.224,1.26,0.303,75.60%,3.19,3.2,740.8
200,Cal Quantrill,MIA,26,26,143,8,10,11,0,0,151,77,20,105,53,6.64,3.37,1.97,1.25,0.265,1.43,0.295,68.20%,4.85,4.76,697.7
201,Lucas Erceg,KCR,0,67,67,4,3,0,11,10,58,27,5,71,30,9.53,4.03,2.37,0.72,0.232,1.32,0.302,73.50%,3.56,3.57,216.4
202,Ben Lively,CLE,24,24,133,7,9,11,0,0,138,69,19,99,43,6.71,2.9,2.31,1.3,0.262,1.37,0.291,68.40%,4.7,4.66,526.6
203,Luke Weaver,NYY,0,68,68,4,3,0,6,13,55,26,9,76,23,10.11,3.06,3.31,1.14,0.214,1.15,0.269,76.20%,3.38,3.72,358.1
204,Tomoyuki Sugano,BAL,23,29,139,8,9,11,0,1,151,72,24,104,30,6.73,1.93,3.48,1.53,0.271,1.3,0.296,70.20%,4.67,4.66,351.9
205,Ryan Pressly,CHC,0,61,61,3,3,0,25,5,53,23,6,63,20,9.37,3.01,3.11,0.88,0.232,1.21,0.294,73.60%,3.46,3.48,156.5
206,Spencer Turnbull,,11,11,65,4,4,6,0,0,60,29,8,63,25,8.72,3.45,2.53,1.14,0.239,1.31,0.288,71.80%,4.08,4.16,671.2
207,Kyle Hendricks,LAA,24,24,129,7,10,10,0,0,138,70,21,89,38,6.19,2.65,2.33,1.44,0.266,1.37,0.286,67.70%,4.89,4.88,709
208,Keegan Akin,BAL,0,70,70,4,3,0,2,16,57,26,8,79,21,10.13,2.68,3.78,1.08,0.218,1.12,0.279,75.40%,3.31,3.49,689.9
209,Camilo Doval,SFG,0,62,62,3,3,0,10,12,49,21,4,75,28,10.86,4.12,2.64,0.63,0.213,1.25,0.296,76.60%,3.03,3.18,379.2
210,Jesus Tinoco,MIA,0,64,64,3,3,0,6,10,55,25,7,69,24,9.71,3.37,2.88,0.93,0.226,1.24,0.288,74.60%,3.49,3.61,424.3
211,Matt Waldron,SDP,13,21,80,3,3,7,0,1,79,38,12,63,21,7.16,2.33,3.07,1.31,0.253,1.25,0.284,69.40%,4.34,4.37,565.1
212,Hunter Harvey,KCR,0,60,60,3,3,0,2,14,53,23,6,63,20,9.47,2.98,3.18,0.89,0.233,1.21,0.298,73.30%,3.5,3.47,713.3
213,Cade Povich,BAL,15,27,86,3,3,8,0,1,80,40,11,80,35,8.38,3.62,2.32,1.15,0.24,1.33,0.285,71.50%,4.18,4.32,527.1
214,Ian Anderson,ATL,16,24,93,4,4,8,0,1,91,46,11,80,38,7.7,3.72,2.07,1.04,0.253,1.4,0.298,69.80%,4.4,4.34,561.2
215,Blake Treinen,LAD,0,59,59,3,3,0,6,14,48,22,7,66,18,10.09,2.75,3.66,1.07,0.216,1.12,0.276,75.60%,3.29,3.51,457.3
216,Jack Kochanowicz,LAA,15,29,95,2,3,7,0,1,103,49,11,56,30,5.31,2.81,1.89,1.03,0.272,1.4,0.295,67.10%,4.69,4.55,723
217,Tony Gonsolin,LAD,15,39,97,3,3,8,0,1,89,46,15,87,32,8.11,3.01,2.69,1.38,0.24,1.26,0.276,70.30%,4.32,4.5,425.4
218,Jackson Jobe,DET,19,31,108,4,4,10,0,1,99,51,14,95,47,7.91,3.9,2.03,1.16,0.237,1.35,0.276,71.50%,4.23,4.53,267.2
219,José Alvarado,PHI,0,60,60,3,3,0,3,10,47,21,5,71,26,10.66,3.88,2.74,0.8,0.209,1.21,0.282,76.80%,3.1,3.39,634.7
220,Drew Thorpe,CHW,16,16,87,5,6,7,0,0,86,45,12,67,34,6.89,3.48,1.98,1.27,0.255,1.38,0.285,68.50%,4.69,4.77,723.4
221,Yimi García,TOR,0,61,61,3,3,0,3,14,49,22,7,70,20,10.34,2.97,3.49,1.05,0.211,1.12,0.27,76.90%,3.18,3.5,547
222,Anthony Bender,MIA,0,60,60,3,3,0,5,12,52,23,6,65,23,9.73,3.38,2.88,0.84,0.227,1.25,0.292,74.80%,3.39,3.48,698.2
223,Kevin Ginkel,ARI,0,61,61,3,3,0,3,14,54,23,6,64,20,9.47,2.91,3.25,0.86,0.234,1.21,0.299,73.40%,3.45,3.41,606.9
224,Robert Suarez,SDP,0,65,65,3,3,0,28,4,52,25,7,67,24,9.32,3.34,2.79,0.98,0.217,1.18,0.272,74.40%,3.42,3.76,90.9
225,Michael Lorenzen,KCR,21,56,148,3,4,10,0,1,149,79,19,111,63,6.73,3.85,1.75,1.14,0.261,1.43,0.295,67.60%,4.81,4.74,536.9
226,Gregory Santos,SEA,0,62,62,3,3,0,5,13,52,21,5,64,23,9.31,3.31,2.81,0.71,0.22,1.21,0.28,75.90%,3.09,3.37,712.8
227,Paul Blackburn,NYM,16,46,116,3,3,8,0,1,117,58,16,92,40,7.14,3.07,2.33,1.21,0.255,1.35,0.289,69.50%,4.47,4.49,638.1
228,Cole Sands,MIN,0,64,64,3,3,0,1,15,55,25,8,69,20,9.73,2.83,3.44,1.07,0.225,1.18,0.283,74.70%,3.49,3.63,669.5
229,Ian Hamilton,NYY,0,60,60,3,3,0,1,15,50,22,6,66,25,9.87,3.71,2.66,0.87,0.218,1.24,0.281,75.60%,3.34,3.61,999
230,David Bednar,PIT,0,64,64,3,3,0,28,4,54,26,7,68,25,9.53,3.5,2.72,1.02,0.223,1.23,0.281,73.90%,3.6,3.82,132.2
231,Patrick Corbin,,16,16,89,5,6,7,0,0,100,49,13,67,29,6.79,2.89,2.35,1.31,0.277,1.45,0.31,67.60%,4.99,4.64,999
232,Pierce Johnson,ATL,0,64,64,3,3,0,2,12,53,25,7,78,28,10.91,3.95,2.76,1,0.218,1.26,0.29,75.40%,3.52,3.64,706.7
233,Adrian Morejon,SDP,0,61,61,3,3,0,1,12,51,22,6,67,21,9.9,3.12,3.17,0.94,0.218,1.18,0.279,76.00%,3.25,3.5,619.7
234,Tylor Megill,NYM,6,53,84,3,2,5,0,1,73,34,9,85,32,9.14,3.48,2.62,1.01,0.229,1.26,0.283,73.40%,3.7,3.89,423.6
235,Johan Oviedo,PIT,10,32,74,2,2,6,0,1,72,35,8,65,31,7.81,3.69,2.12,1.01,0.248,1.37,0.292,71.00%,4.2,4.26,730.1
236,A.J. Minter,NYM,0,54,54,3,3,0,2,11,42,20,6,60,19,9.96,3.17,3.14,1.04,0.212,1.14,0.269,75.70%,3.28,3.64,675.5
237,Noah Schultz,CHW,6,6,33,2,2,3,0,0,31,14,4,34,13,9.25,3.41,2.71,1.01,0.238,1.31,0.295,73.50%,3.82,3.85,999
238,Ryne Nelson,ARI,10,55,98,2,2,6,0,1,98,47,13,79,27,7.22,2.46,2.94,1.16,0.256,1.27,0.293,69.00%,4.28,4.19,394.9
239,Colin Holderman,PIT,0,62,62,3,3,0,3,13,53,24,6,66,26,9.6,3.73,2.57,0.87,0.224,1.27,0.285,74.80%,3.47,3.68,730.2
240,Yariel Rodríguez,TOR,11,59,102,3,3,7,0,1,89,46,13,102,46,9.05,4.04,2.24,1.13,0.232,1.32,0.283,71.90%,4.11,4.28,537.2
241,Matthew Liberatore,STL,5,65,84,3,3,4,2,12,79,37,9,77,31,8.19,3.33,2.46,0.99,0.242,1.3,0.29,71.70%,3.94,4.02,692.8
242,Jason Foley,DET,0,63,63,3,3,0,13,7,60,26,6,55,20,7.84,2.85,2.75,0.81,0.245,1.26,0.295,71.60%,3.69,3.67,292.7
243,David Robertson,,0,57,57,3,3,0,0,0,45,21,6,69,24,10.9,3.85,2.83,0.95,0.21,1.21,0.281,76.20%,3.3,3.54,424.7
244,Fernando Cruz,NYY,0,61,61,3,3,0,0,13,46,23,7,80,28,11.83,4.18,2.83,1.07,0.202,1.22,0.276,77.20%,3.35,3.63,710.8
245,Anthony DeSclafani,,10,10,52,3,3,5,0,0,53,25,8,43,14,7.42,2.34,3.17,1.31,0.253,1.27,0.286,70.10%,4.3,4.31,749.5
246,Kenley Jansen,LAA,0,60,60,3,3,0,26,4,46,24,8,70,24,10.47,3.54,2.96,1.27,0.206,1.16,0.259,75.80%,3.55,3.99,147.4
247,J.T. Ginn,ATH,13,35,91,2,2,7,0,1,95,45,10,68,33,6.74,3.24,2.08,1.03,0.263,1.4,0.3,69.00%,4.5,4.38,735.8
248,Jared Koenig,MIL,0,62,62,3,3,0,2,11,54,24,7,61,22,8.91,3.25,2.75,0.99,0.226,1.23,0.276,74.20%,3.54,3.83,729.8
249,Cody Bradford,TEX,10,47,87,2,2,6,0,1,85,42,14,70,19,7.31,1.93,3.79,1.47,0.25,1.2,0.277,69.50%,4.32,4.43,323.2
250,Justin Slaten,BOS,0,64,64,3,3,0,0,13,57,26,7,69,25,9.72,3.46,2.81,0.95,0.231,1.27,0.295,73.90%,3.63,3.67,467.6
251,Reed Garrett,NYM,0,66,66,3,3,0,0,15,52,23,6,79,31,10.83,4.23,2.56,0.88,0.207,1.25,0.276,77.40%,3.2,3.58,743.4
252,Tim Herrin,CLE,0,62,62,3,3,0,0,14,53,23,5,66,25,9.64,3.64,2.65,0.79,0.226,1.26,0.292,74.50%,3.39,3.51,750.6
253,Will Vest,DET,0,68,68,4,3,0,2,12,61,27,6,66,23,8.77,3.02,2.9,0.85,0.235,1.23,0.293,72.90%,3.53,3.57,728.5
254,Justin Anderson,CHW,0,63,63,3,3,0,7,11,55,27,7,68,31,9.71,4.46,2.18,0.97,0.228,1.37,0.29,73.90%,3.86,4.04,655.8
255,Yennier Cano,BAL,0,61,61,3,3,0,1,12,52,22,5,64,23,9.51,3.35,2.84,0.69,0.227,1.23,0.296,74.50%,3.23,3.3,700.8
256,Alex Wood,,13,13,69,4,5,6,0,0,72,37,10,55,25,7.22,3.26,2.21,1.26,0.265,1.41,0.301,68.20%,4.79,4.61,999
257,Trevor Williams,WSN,15,53,111,3,3,7,0,1,116,59,17,87,35,7.03,2.83,2.48,1.39,0.263,1.36,0.294,67.80%,4.81,4.69,526.1
258,Will Warren,NYY,5,43,66,2,2,4,0,1,61,28,7,62,24,8.47,3.25,2.61,0.99,0.241,1.29,0.292,72.10%,3.89,3.93,600.8
259,Kirby Yates,LAD,0,60,60,3,3,0,9,11,45,24,7,72,29,10.85,4.33,2.5,1.08,0.205,1.23,0.271,75.20%,3.55,3.91,193.8
260,Calvin Faucher,MIA,0,63,63,3,3,0,22,6,58,27,6,66,28,9.4,4.03,2.33,0.9,0.237,1.37,0.3,73.30%,3.86,3.87,310.2
261,Manuel Rodríguez,TBR,0,61,61,3,3,0,2,13,55,23,5,63,22,9.29,3.28,2.83,0.8,0.232,1.26,0.294,74.20%,3.44,3.49,748.9
262,Liam Hendriks,BOS,0,61,61,3,3,0,23,6,56,27,8,61,21,8.98,3.12,2.88,1.11,0.241,1.26,0.296,71.10%,4.01,3.95,240.4
263,Dylan Lee,ATL,0,62,62,3,3,0,0,13,52,24,8,70,19,10.19,2.76,3.7,1.14,0.221,1.14,0.281,74.70%,3.47,3.6,748
264,Randy Vásquez,SDP,10,25,64,2,2,5,0,1,63,30,8,51,22,7.17,3.05,2.35,1.15,0.25,1.32,0.284,70.30%,4.27,4.38,715.4
265,Joel Payamps,MIL,0,61,61,3,3,0,2,13,50,23,7,63,20,9.27,2.95,3.14,1.09,0.217,1.16,0.266,75.40%,3.4,3.8,498.7
266,Kyle Hart,SDP,15,39,105,2,3,7,0,1,104,54,15,76,39,6.51,3.31,1.96,1.26,0.253,1.36,0.278,68.90%,4.61,4.79,512.1
267,Bryan Hudson,MIL,0,60,60,3,3,0,1,11,48,22,7,65,21,9.7,3.18,3.05,1.02,0.214,1.16,0.27,75.60%,3.31,3.67,999
268,Ryan Brasier,CHC,0,58,58,3,3,0,2,13,50,23,6,57,18,8.85,2.75,3.22,0.99,0.23,1.16,0.283,72.80%,3.53,3.67,746.9
269,Tyler Holton,DET,0,72,72,4,4,0,6,13,63,29,8,62,19,7.77,2.4,3.23,0.99,0.233,1.14,0.275,71.80%,3.57,3.8,462.3
270,Kyle Finnegan,WSN,0,64,64,3,3,0,22,6,58,28,7,62,25,8.73,3.46,2.53,0.99,0.237,1.28,0.29,72.10%,3.87,3.95,310.8
271,Dustin May,LAD,5,52,72,2,2,4,0,4,63,31,9,67,24,8.29,2.94,2.82,1.09,0.233,1.2,0.277,71.60%,3.8,4,422
272,Landen Roupp,SFG,5,55,74,3,2,4,0,4,63,29,7,78,32,9.47,3.93,2.41,0.8,0.225,1.29,0.289,74.40%,3.48,3.67,563.4
273,Fraser Ellard,CHW,0,62,62,3,3,0,6,10,56,27,6,65,31,9.49,4.5,2.11,0.93,0.233,1.4,0.295,73.40%,3.94,4.05,749.4
274,Dennis Santana,PIT,0,66,66,3,3,0,2,12,59,28,7,65,27,8.89,3.7,2.4,0.95,0.235,1.31,0.29,72.70%,3.83,3.94,621.5
275,Emilio Pagán,CIN,0,64,64,3,3,0,3,12,55,29,10,68,23,9.52,3.23,2.94,1.34,0.228,1.22,0.277,72.10%,4.04,4.19,731.4
276,Jordan Romano,PHI,0,59,59,3,3,0,23,4,50,25,8,62,23,9.53,3.58,2.66,1.15,0.226,1.25,0.281,72.90%,3.86,4.05,177
277,JoJo Romero,STL,0,61,61,3,3,0,1,13,55,24,6,60,20,8.82,3.01,2.93,0.88,0.234,1.23,0.291,73.20%,3.54,3.61,739.6
278,Taylor Rogers,CIN,0,62,62,3,3,0,3,13,55,27,8,69,26,10.05,3.75,2.68,1.22,0.227,1.3,0.284,74.00%,3.93,4.08,569.4
279,Jose A. Ferrer,WSN,0,62,62,3,3,0,3,11,58,26,6,56,22,8.06,3.13,2.58,0.83,0.242,1.28,0.293,72.20%,3.7,3.75,583.3
280,Seth Halvorsen,COL,0,63,63,3,3,0,9,8,60,30,7,63,29,9.05,4.21,2.15,0.99,0.247,1.42,0.306,71.50%,4.25,4.14,362
281,Bryce Elder,ATL,6,16,49,1,1,3,0,1,50,23,6,39,16,7.26,2.97,2.45,1.02,0.26,1.36,0.302,69.60%,4.31,4.15,745.3
282,AJ Smith-Shawver,ATL,8,48,79,2,2,5,0,1,67,35,10,85,35,9.58,4,2.4,1.19,0.223,1.28,0.275,73.20%,3.94,4.23,475.1
283,Edwin Uceta,TBR,0,65,65,3,3,0,9,11,52,25,8,72,26,9.96,3.59,2.78,1.1,0.212,1.2,0.266,76.00%,3.45,3.88,328.7
284,Caden Dana,LAA,13,13,69,4,5,6,0,0,66,36,11,60,29,7.82,3.84,2.04,1.45,0.246,1.39,0.278,69.60%,4.76,4.95,583.4
285,Griffin Canning,NYM,11,46,100,2,2,6,0,1,97,51,15,82,36,7.4,3.22,2.3,1.31,0.251,1.33,0.284,69.10%,4.55,4.62,535.5
286,Brock Burke,LAA,0,66,66,3,3,0,1,16,59,29,8,66,24,9.01,3.21,2.81,1.16,0.234,1.25,0.283,72.60%,3.91,4.04,749.8
287,Gus Varland,CHW,0,64,64,3,3,0,8,11,62,29,7,61,25,8.59,3.53,2.44,1.04,0.243,1.35,0.292,72.70%,4.02,4.08,747.8
288,Alex Vesia,LAD,0,58,58,3,3,0,0,14,42,22,8,72,24,11.24,3.78,2.98,1.26,0.197,1.15,0.255,77.30%,3.4,3.89,707
289,Joey Estes,ATH,16,33,106,3,3,8,0,1,106,54,18,80,29,6.81,2.43,2.8,1.53,0.251,1.27,0.272,68.90%,4.6,4.8,723
290,Caleb Ferguson,PIT,0,60,60,3,3,0,1,11,54,24,6,63,25,9.49,3.68,2.58,0.83,0.235,1.32,0.3,73.80%,3.63,3.63,999
291,Tanner Banks,PHI,0,68,68,4,3,0,0,12,62,29,8,67,22,8.91,2.94,3.03,1.08,0.237,1.23,0.289,72.40%,3.8,3.85,750.2
292,Ryan Thompson,ARI,0,63,63,3,3,0,0,13,59,25,6,55,20,7.88,2.88,2.74,0.79,0.243,1.25,0.294,71.80%,3.64,3.65,999
293,Andrew Kittredge,BAL,0,64,64,3,3,0,2,13,58,27,8,60,20,8.46,2.82,3,1.08,0.237,1.21,0.285,71.60%,3.83,3.91,580.2
