#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
215,Austin Gomber,COL,3,5,5.42,11,11,0,0,,61,267,70,40,37,11,17,,3,43
216,Randy Vásquez,SDP,2,3,4.64,23,15,0,0,,84,368,84,47,43,12,31,,4,65
217,Reed Garrett,NYM,2,2,3.29,41,0,1,9,,41,173,32,16,15,4,19,,2,48
218,Nestor Cortes,MIL,1,1,4.06,12,6,0,0,,40,168,36,20,18,7,11,,2,40
219,Jose A. Ferrer,WSN,2,2,3.8,39,0,1,8,,39,164,37,18,16,4,13,,2,34
220,Justin Slaten,BOS,2,2,3.76,33,0,2,6,,33,140,30,15,14,4,12,,1,34
221,Ryan Walker,SFG,2,2,3.19,38,0,2,8,,38,154,31,15,13,3,13,,2,41
222,Emilio Pagán,CIN,2,2,3.77,39,0,16,3,,39,167,33,18,16,6,14,,2,44
223,Michael McGreevy,STL,1,1,4.3,25,5,0,0,,49,206,51,25,23,6,11,,2,35
224,Jackson Jobe,DET,2,3,4.26,17,10,0,0,,55,241,50,28,26,7,25,,3,50
225,Tommy Kahnle,DET,2,2,3.58,38,0,7,5,,38,165,34,17,15,4,15,,2,40
226,Tylor Megill,NYM,1,1,3.64,32,4,0,0,,49,210,42,22,20,6,20,,2,53
227,Brock Stewart,MIN,2,2,3.16,37,0,1,8,,37,154,28,14,13,4,15,,2,48
228,Adrian Morejon,SDP,2,2,3.34,38,0,1,8,,38,160,32,16,14,4,13,,2,40
229,Manuel Rodríguez,TBR,2,2,3.42,37,0,1,8,,37,159,34,16,14,3,13,,2,38
230,Aaron Bummer,ATL,2,2,3.16,37,0,1,7,,37,154,31,14,13,3,14,,2,42
231,Brandon Walter,HOU,0,0,3.88,20,5,0,0,,35,145,33,17,15,4,9,,1,31
232,Ryan Gusto,HOU,3,3,4.67,37,10,0,0,,87,375,84,50,45,13,34,,4,74
233,Garrett Cleavinger,TBR,2,2,3.45,38,0,1,10,,38,161,31,16,15,4,16,,2,45
234,Jordan Leasure,CHW,2,2,3.95,39,0,8,6,,39,169,34,19,17,5,18,,2,43
235,Anthony Bender,MIA,2,2,3.61,38,0,3,8,,38,162,34,17,15,4,15,,2,39
236,Jake Bird,COL,2,2,4.09,40,0,1,9,,40,174,39,20,18,4,17,,2,40
237,Chad Patrick,MIL,2,2,4.16,24,7,0,0,,54,231,49,27,25,9,17,,2,49
238,Steven Matz,STL,1,1,4.02,38,4,0,5,,55,233,54,27,25,7,16,,2,48
239,Mike Clevinger,CHW,2,2,4.08,13,4,0,0,,33,140,30,16,15,4,12,,1,28
240,Hunter Dobbins,BOS,1,0,4.75,20,7,0,0,,51,213,51,29,27,7,18,,2,38
241,Caleb Ferguson,PIT,2,2,3.72,40,0,1,10,,40,171,36,18,16,4,16,,2,40
242,Brendon Little,TOR,2,2,3.44,38,0,0,9,,38,164,33,16,15,3,17,,2,40
243,Keider Montero,DET,1,1,4.52,20,7,0,0,,53,229,52,29,27,7,20,,2,44
244,Tyler Rogers,SFG,2,2,3.51,43,0,1,11,,43,181,41,18,17,4,10,,2,37
245,Johan Oviedo,PIT,2,3,4.34,19,5,0,0,,44,191,42,23,21,5,18,,3,39
246,Kirby Yates,LAD,2,2,3.59,33,0,3,7,,33,140,26,15,13,4,15,,2,41
247,Jordan Romano,PHI,2,2,3.85,39,0,14,4,,39,163,32,18,17,5,16,,2,43
248,Kyle Wright,KCR,1,1,4.49,21,4,0,0,,40,172,41,22,20,4,15,,2,33
249,Tobias Myers,MIL,1,1,4.55,8,8,0,0,,45,193,43,25,23,7,15,,2,37
250,Cole Sands,MIN,2,2,3.75,39,0,2,9,,39,164,35,18,16,5,12,,2,39
251,Kyle Bradish,BAL,1,1,3.32,10,2,0,0,,20,83,17,8,7,2,6,,1,20
252,Javier Assad,CHC,1,1,4.33,13,7,0,0,,44,191,42,23,21,6,17,,2,38
253,Tanner Banks,PHI,2,2,3.69,37,0,1,7,,37,157,33,17,15,5,12,,2,39
254,Randy Rodríguez,SFG,2,2,3.32,40,0,3,8,,40,171,32,16,15,4,18,,2,46
255,Ryan Yarbrough,NYY,3,3,4.29,31,5,0,0,,56,243,54,29,27,9,17,,2,47
256,Cam Booser,CHW,2,2,3.9,39,0,3,8,,39,169,34,18,17,5,17,,2,43
257,Simeon Woods Richardson,MIN,2,3,4.75,8,8,0,0,,40,176,41,23,21,6,15,,2,34
258,Luke Weaver,NYY,2,2,3.63,30,0,9,4,,30,126,25,13,12,4,10,,1,32
259,Mike Burrows,PIT,3,3,4.41,25,6,0,0,,50,219,48,27,25,7,20,,2,46
260,Dylan Lee,ATL,2,2,3.64,38,0,1,9,,38,158,32,17,16,5,12,,2,42
261,Reynaldo López,ATL,2,2,4.07,14,4,0,0,,32,133,29,16,14,4,12,,1,32
262,Rhett Lowder,CIN,1,1,4.73,12,5,0,0,,34,149,35,20,18,5,12,,2,28
263,Phil Maton,STL,2,2,3.75,41,0,1,9,,41,175,37,19,17,5,15,,2,41
264,Logan Henderson,MIL,0,0,3.76,19,4,0,0,,33,128,25,15,14,5,11,,1,34
265,Roki Sasaki,LAD,4,5,4.84,12,12,0,0,,62,257,56,36,33,9,28,,3,50
266,Richard Fitts,BOS,1,1,4.79,27,6,0,0,,51,219,54,29,27,7,16,,2,40
267,Bryse Wilson,CHW,1,1,4.68,30,5,0,0,,52,226,54,30,27,8,17,,2,40
268,Kyle Finnegan,WSN,2,2,3.94,39,0,21,1,,39,168,36,19,17,4,15,,2,38
269,David Robertson,,1,1,3.47,21,0,0,0,,21,89,17,9,8,2,9,,1,26
270,Greg Weissert,BOS,2,2,3.96,36,0,0,8,,36,156,34,17,16,4,13,,2,37
271,Bryan King,HOU,2,2,3.76,39,0,1,10,,39,168,35,18,16,5,14,,2,40
272,Jordan Hicks,SFG,2,1,3.69,29,3,0,0,,41,180,38,19,17,4,17,,2,42
273,Seth Halvorsen,COL,2,2,4.24,38,0,5,5,,38,165,36,19,18,4,18,,2,37
274,Ryan Zeferjahn,LAA,2,2,3.67,39,0,2,8,,39,173,31,18,16,5,21,,2,47
275,Ronny Henriquez,MIA,2,2,3.91,39,0,7,6,,39,168,36,19,17,4,15,,2,39
276,Brenan Hanifee,DET,2,2,3.8,37,0,1,7,,37,155,36,17,15,4,11,,2,31
277,John Schreiber,KCR,2,2,3.86,38,0,1,8,,38,164,35,18,16,4,16,,2,38
278,Janson Junk,MIA,3,3,4.63,36,4,0,3,,60,253,62,33,31,8,16,,2,43
279,Pierce Johnson,ATL,2,2,3.67,38,0,1,8,,38,162,32,17,15,4,16,,2,45
280,Tim Herrin,CLE,2,2,3.76,39,0,1,9,,39,165,34,18,16,4,17,,2,41
281,Ryan Pressly,CHC,2,2,3.84,37,0,4,9,,37,155,34,17,16,4,13,,2,35
282,Dennis Santana,PIT,2,2,3.99,39,0,5,6,,39,167,36,19,17,4,15,,2,37
283,Wade Miley,CIN,3,4,5.02,19,8,0,0,,53,236,57,33,30,8,18,,2,35
284,Keegan Akin,BAL,2,2,3.6,38,0,1,8,,38,160,32,17,15,5,13,,2,42
285,Taylor Rogers,CIN,2,2,3.9,37,0,1,7,,37,158,32,17,16,5,15,,2,40
286,Kenley Jansen,LAA,2,2,3.9,37,0,19,1,,37,158,30,18,16,6,15,,2,41
287,Alec Marsh,KCR,2,2,4.47,15,3,0,0,,30,128,28,16,15,4,11,,2,28
288,Calvin Faucher,MIA,2,2,4.08,40,0,11,5,,40,173,37,20,18,4,18,,2,40
289,Sawyer Gipson-Long,DET,1,1,4.11,23,3,0,0,,33,139,32,16,15,4,10,,1,29
290,Bennett Sousa,HOU,2,2,3.55,35,0,0,6,,35,149,31,15,14,4,12,,2,38
291,Jonathan Loáisiga,NYY,2,2,3.62,37,0,1,8,,37,155,32,16,15,4,12,,2,34
292,Carson Whisenhunt,SFG,1,1,4.08,14,4,0,0,,28,121,27,14,13,4,10,,1,27
293,Huascar Brazobán,NYM,2,2,3.43,38,0,1,9,,38,161,31,16,14,4,17,,2,41
294,Braxton Ashcraft,PIT,1,1,4.05,34,2,0,4,,43,186,43,21,20,5,14,,2,39
295,Mason Montgomery,TBR,2,2,3.35,36,0,1,8,,36,154,29,15,13,4,15,,2,41
296,JoJo Romero,STL,2,2,3.73,39,0,1,9,,39,165,35,18,16,4,15,,2,38
297,Alex Vesia,LAD,2,2,3.42,38,0,1,9,,38,162,28,16,15,6,16,,2,49
298,Jared Koenig,MIL,2,2,3.72,37,0,1,8,,37,157,32,17,15,4,14,,2,36
299,Parker Messick,CLE,0,0,4.4,4,4,0,0,,19,81,18,10,9,3,8,,1,17
300,Noah Schultz,CHW,1,1,4.54,3,3,0,0,,16,71,16,9,8,2,7,,1,14
301,Carmen Mlodzinski,PIT,1,1,4.2,31,3,0,0,,42,182,41,22,20,5,16,,2,37
302,Emerson Hancock,SEA,1,1,4.55,13,7,0,0,,42,181,42,23,21,6,14,,2,32
303,Angel Zerpa,KCR,2,2,4.03,39,0,0,8,,39,165,39,19,17,4,12,,2,32
304,Carlos Estévez,KCR,2,2,4.12,40,0,17,2,,40,169,36,20,18,5,16,,2,38
305,Trevor Rogers,BAL,1,1,4.46,23,5,0,0,,38,165,38,21,19,5,14,,2,32
306,Kyle Gibson,TBR,1,1,4.68,4,4,0,0,,23,101,24,13,12,3,8,,1,19
307,Justin Wilson,BOS,2,2,3.85,34,0,2,6,,34,146,31,16,14,4,12,,2,36
308,Alex Wood,,1,1,4.72,4,4,0,0,,23,100,23,13,12,3,8,,2,19
309,Joey Cantillo,CLE,1,1,4.09,19,3,0,0,,31,135,28,16,14,4,14,,2,32
310,Nathan Wiles,ATL,1,1,4.57,26,4,0,0,,48,205,49,26,24,8,13,,2,38
311,Matt Waldron,SDP,1,1,4.55,14,4,0,0,,33,139,33,18,16,5,9,,1,26
312,Brock Burke,LAA,2,2,4.07,37,0,1,8,,37,159,34,18,17,5,14,,2,36
313,Ryan Thompson,ARI,2,2,3.68,36,0,0,8,,36,152,34,16,15,3,12,,2,32
314,Brennan Bernardino,BOS,2,2,4.1,36,0,0,7,,36,154,34,18,16,4,14,,2,35
315,Tyler Holton,DET,2,2,3.66,35,0,1,7,,35,146,32,16,14,4,10,,1,31
316,Hoby Milner,TEX,2,2,3.83,34,0,0,6,,34,143,32,16,14,4,9,,1,30
317,Andrew Kittredge,BAL,2,2,3.97,40,0,1,9,,40,167,37,19,18,5,13,,2,37
318,Ryan Borucki,PIT,2,2,3.78,35,0,0,7,,35,149,32,16,15,4,13,,2,33
319,Jordan Wicks,CHC,1,1,4.3,18,3,0,0,,32,135,31,17,15,4,11,,1,27
320,Nick Mears,MIL,2,2,3.69,37,0,1,7,,37,155,30,16,15,5,16,,2,40
321,Héctor Neris,LAA,2,2,4.04,38,0,1,10,,38,162,32,19,17,5,17,,2,42
322,Carson Palmquist,COL,0,0,5.24,16,7,0,0,,39,167,37,25,23,7,18,,2,35
323,Seranthony Domínguez,BAL,2,2,3.58,37,0,0,7,,37,157,30,16,15,4,16,,2,42
324,Justin Topa,MIN,2,2,3.83,35,0,0,6,,35,151,33,16,15,4,13,,2,32
325,Alek Manoah,TOR,1,1,4.17,8,2,0,0,,17,73,15,9,8,2,6,,2,16
326,Shelby Miller,ARI,2,2,3.88,39,0,2,8,,39,164,34,18,17,5,15,,2,39
327,Joe Boyle,TBR,1,1,4.08,30,3,0,0,,43,188,35,21,20,5,27,,2,49
328,Brandon Eisert,CHW,2,2,4.29,34,0,1,6,,34,146,34,18,16,4,11,,2,32
329,Yariel Rodríguez,TOR,1,1,3.88,40,0,2,10,,40,171,34,19,17,5,18,,2,42
330,Chase Silseth,LAA,2,1,4.43,25,3,0,0,,36,154,33,19,18,5,16,,2,33
331,Jesus Tinoco,MIA,2,2,3.94,38,0,1,7,,38,163,35,18,17,4,14,,2,36
332,Steven Okert,HOU,2,2,3.67,36,0,0,8,,36,153,29,16,15,5,13,,2,41
333,Nick Nastrini,CHW,1,1,5.06,6,6,0,0,,33,147,31,20,18,5,18,,2,29
334,Mick Abel,PHI,0,0,4.41,18,3,0,0,,31,138,28,17,15,4,16,,2,31
335,Ken Waldichuk,ATH,1,1,4.47,8,2,0,0,,17,75,16,9,9,2,7,,1,16
336,Caden Dana,LAA,2,3,4.94,16,5,0,0,,38,169,37,23,21,7,17,,2,34
337,Quinn Mathews,STL,0,1,4.24,12,2,0,0,,22,94,20,11,10,3,10,,1,21
338,Michael Kopech,LAD,2,2,3.57,32,0,2,8,,32,137,23,14,13,4,18,,2,39
339,Ryan Brasier,CHC,2,2,3.77,36,0,0,8,,36,151,33,17,15,4,12,,2,34
340,Scott Barlow,CIN,2,2,3.97,35,0,0,7,,35,155,30,17,16,4,18,,2,39
341,Hunter Gaddis,CLE,2,2,3.97,41,0,1,10,,41,173,37,20,18,6,13,,2,38
342,Chase Burns,CIN,0,0,3.71,1,1,0,0,,4.2,17,3,2,2,1,1,0,0,5
343,Cody Bradford,TEX,2,2,4.2,21,1,0,0,,26,109,25,13,12,4,6,,1,24
344,Patrick Sandoval,BOS,1,1,3.85,5,1,0,0,,9,39,9,4,4,1,4,,0,9
345,Kevin Ginkel,ARI,2,2,3.7,31,0,0,3,,31,131,28,14,13,3,11,,1,33
346,Ryne Stanek,NYM,2,2,3.69,39,0,1,11,,39,167,32,17,16,5,18,,2,43
347,Jakob Junis,CLE,2,2,4.13,37,0,0,8,,37,155,36,19,17,5,9,,2,31
348,Steven Cruz,KCR,2,2,3.95,37,0,0,7,,37,160,33,18,16,4,17,,2,37
349,Wade Miley,CIN,2,3,5.02,7,7,0,0,,38,167,41,23,21,6,13,,2,25
350,Drew Pomeranz,CHC,2,2,3.62,35,0,0,7,,35,151,30,15,14,5,14,,2,39
351,Grant Anderson,MIL,2,2,3.78,35,0,0,7,,35,151,30,16,15,5,14,,2,38
352,Luke Jackson,TEX,2,2,4.21,39,0,5,7,,39,169,35,20,18,5,18,,2,39
353,Emmet Sheehan,LAD,0,0,3.64,6,1,0,0,,10,40,8,4,4,1,4,,0,11
354,Carlos Vargas,SEA,2,2,3.73,38,0,1,8,,38,164,34,17,16,4,15,,2,34
355,Tyler Ferguson,ATH,2,2,3.95,38,0,1,8,,38,169,33,18,17,5,19,,2,40
356,Jake Cousins,NYY,2,2,3.53,31,0,0,3,,31,137,25,13,12,4,16,,2,38
357,Trey Yesavage,TOR,0,0,3.44,1,1,0,0,,4.2,18,3,2,2,0,2,0,0,5
358,Gage Jump,ATH,0,0,3.95,1,1,0,0,,5.2,21,5,3,2,1,2,0,0,5
359,Anthony DeSclafani,NYY,0,0,4.3,5,1,0,0,,9,41,9,5,5,1,3,,0,8
360,Chase Lee,DET,1,1,3.73,31,0,0,3,,31,138,30,14,13,4,10,,1,32
361,Tim Hill,NYY,2,2,3.99,35,0,0,7,,35,151,34,17,15,3,12,,2,25
362,Kevin Kelly,TBR,2,2,3.41,34,0,0,5,,34,144,32,14,13,3,9,,1,32
363,Andrew Morris,MIN,1,1,4.66,11,2,0,0,,21,91,22,12,11,3,6,,1,16
364,Robby Snelling,MIA,1,1,4.68,2,2,0,0,,12,52,12,7,6,2,5,,1,10
365,Martín Pérez,CHW,1,1,5.1,2,2,0,0,,11,48,12,7,6,2,4,,1,8
366,John King,STL,2,2,4.15,38,0,0,8,,38,163,40,19,17,3,11,,2,27
367,Logan Evans,SEA,0,0,4.28,11,2,0,0,,20,84,19,10,10,3,7,,1,16
368,Gregory Soto,BAL,2,2,3.49,39,0,0,5,,39,164,33,17,15,4,16,,2,42
369,Justin Sterner,ATH,2,2,4,37,0,1,8,,37,156,32,18,16,5,15,,2,38
370,Paul Blackburn,NYM,1,1,4.52,33,3,0,0,,45,194,45,25,23,6,16,,2,36
371,Shawn Armstrong,TEX,2,2,4.09,36,0,1,7,,36,155,33,18,17,5,14,,2,36
372,Chad Green,TOR,2,2,4.13,36,0,1,8,,36,150,33,18,17,5,12,,2,34
373,Robert Stephenson,LAA,2,1,3.37,30,0,0,0,,30,126,24,12,11,4,11,,1,36
374,Danny Coulombe,MIN,2,1,3.41,30,0,0,0,,30,128,26,12,11,4,9,,1,33
375,Travis Sykora,WSN,0,0,3.7,1,1,0,0,,4,15,3,2,2,0,2,0,0,4
376,José Alvarado,PHI,1,1,2.95,19,0,0,0,,19,78,14,7,6,2,7,,1,23
377,Paul Sewald,CLE,2,2,3.66,31,0,0,3,,31,132,26,14,13,4,11,,1,35
378,Eric Orze,TBR,2,2,3.83,36,0,1,7,,36,152,31,17,15,4,15,,2,38
379,Hunter Harvey,KCR,1,1,3.58,25,0,0,0,,25,103,22,11,10,3,8,,1,26
380,Zach Agnos,COL,2,2,4.79,38,0,11,4,,38,152,36,22,20,5,12,,2,30
381,Jacob Waguespack,TBR,1,1,4.09,23,1,0,0,,27,115,25,13,12,3,10,,1,25
382,Matt Festa,CLE,2,2,3.87,38,0,0,7,,38,158,32,18,16,5,14,,2,36
383,Rob Zastryzny,MIL,2,2,3.63,33,0,0,3,,33,140,29,15,13,4,11,,1,33
384,Josh Sborz,TEX,2,1,3.76,26,0,0,0,,26,110,23,12,11,3,10,,0,28
385,Michael Tonkin,MIN,2,2,3.87,32,0,0,3,,32,138,29,15,14,4,12,,1,33
386,A.J. Puk,ARI,1,1,3.2,24,0,2,0,,24,100,19,9,8,3,8,,1,28
387,Cooper Criswell,BOS,1,1,4.52,26,1,0,0,,29,127,32,16,15,4,8,,1,24
388,José Fermin,LAA,1,1,3.92,32,0,0,3,,32,140,27,15,14,4,16,,2,38
389,Mitch Spence,ATH,1,1,4.3,34,0,0,6,,34,147,35,18,16,4,10,,1,29
390,Drey Jameson,ARI,1,1,4.2,18,1,0,0,,23,98,22,12,11,3,9,,1,20
391,Victor Vodnik,COL,2,2,4.58,36,0,1,7,,36,161,36,20,19,4,18,,2,35
392,Ian Hamilton,NYY,2,2,3.54,33,0,0,5,,33,140,27,14,13,4,15,,2,36
393,Tyson Hardin,MIL,0,0,4.3,1,1,0,0,,5,20,5,3,2,1,1,0,0,4
394,Keaton Winn,SFG,1,1,3.94,29,1,0,0,,33,139,31,16,14,4,10,,1,29
395,Brandon Young,BAL,0,0,4.38,17,1,0,0,,22,93,21,12,11,3,7,,1,20
396,Connelly Early,BOS,0,0,4.43,1,1,0,0,,4.1,19,4,2,2,1,2,0,0,4
397,Trent Thornton,SEA,2,2,3.72,37,0,0,7,,37,154,32,16,15,5,12,,2,35
398,Yordanny Monegro,BOS,0,0,4.49,1,1,0,0,,4.1,17,4,2,2,1,2,0,0,4
399,Jonah Tong,NYM,0,0,3.85,1,1,0,0,,4.1,18,3,2,2,0,2,0,0,5
400,Hurston Waldrep,ATL,1,1,4.66,2,2,0,0,,11,46,10,6,5,1,5,,1,9
401,Cole Peschl,MIN,0,0,4.23,1,1,0,0,,4.2,19,4,2,2,1,2,0,0,4
402,Landon Knack,LAD,1,1,4.47,14,2,0,0,,21,90,20,12,11,4,7,,1,19
403,Osvaldo Bido,ATH,1,1,4.53,25,2,0,0,,34,148,32,19,17,5,14,,2,30
404,Kody Funderburk,MIN,2,2,3.7,31,0,0,0,,31,132,28,14,13,3,12,,1,32
405,Connor Brogdon,LAA,2,2,4.11,36,0,0,7,,36,153,31,18,16,5,15,,2,37
406,Blake Treinen,LAD,1,1,3.41,22,0,2,0,,22,92,18,9,8,3,7,,1,25
407,Ian Seymour,TBR,0,0,4.34,10,1,0,0,,15,65,14,8,7,2,5,,1,15
408,AJ Blubaugh,HOU,0,0,4.73,17,3,0,0,,31,135,30,18,16,5,13,,1,27
409,Hunter Barco,PIT,0,0,4.08,1,1,0,0,,3.1,14,3,2,2,0,1,0,0,3
410,Ben Shields,NYY,0,0,4.25,1,1,0,0,,4,17,4,2,2,1,2,0,0,4
411,Colin Selby,BAL,2,2,3.87,33,0,0,3,,33,141,28,15,14,3,16,,2,35
412,Grant Taylor,CHW,0,0,3.77,1,1,0,0,,2.2,10,2,1,1,0,1,0,0,2
413,Griffin Herring,NYY,0,0,4.64,1,1,0,0,,5.2,22,5,3,3,1,2,0,0,4
414,Coleman Crow,MIL,0,0,4.4,1,1,0,0,,4.1,17,4,2,2,1,1,0,0,3
415,Tink Hence,STL,0,0,4.37,1,1,0,0,,5,19,4,2,2,1,2,,0,4
416,Hagen Smith,CHW,0,0,4.2,1,1,0,0,,3.1,15,3,2,2,0,2,0,0,4
417,Jojo Ingrassia,BOS,0,0,4.43,1,1,0,0,,3.1,12,3,2,2,0,1,0,0,3
418,George Klassen,LAA,0,0,4.35,1,1,0,0,,4,17,4,2,2,1,2,,0,4
419,Payton Tolle,BOS,0,0,4.51,1,1,0,0,,4,18,4,2,2,1,2,0,0,4
420,Jalen Beeks,ARI,2,2,4.06,37,0,1,8,,37,163,36,18,17,4,15,,2,35
421,Brandon Clarke,BOS,0,0,4.13,1,1,0,0,,3.1,14,3,2,2,0,1,0,0,3
422,Grant Holman,ATH,2,2,4.3,37,0,1,10,,37,163,36,19,18,5,16,,2,34
423,Joey Estes,ATH,1,1,5.11,13,4,0,0,,30,131,32,19,17,6,8,,1,22
424,Brandon Sproat,NYM,0,0,4.36,1,1,0,0,,6,25,6,3,3,1,3,,0,5
425,Sean Sullivan,COL,0,0,5.19,1,1,0,0,,5,20,5,3,3,1,1,0,0,4
426,Clayton Beeter,NYY,1,1,3.32,24,0,0,0,,24,100,17,10,9,3,12,,1,29
427,Yuki Matsui,SDP,2,2,3.9,35,0,0,6,,35,149,29,17,15,5,15,,2,37
428,Joe Jiménez,ATL,1,0,3.38,13,0,0,0,,13,52,10,5,5,1,4,,1,15
429,Allan Winans,NYY,2,2,4.52,22,1,0,0,,26,107,25,14,13,4,7,,1,19
430,Ryan Gallagher,CHC,0,0,4.53,1,1,0,0,,4.2,19,4,3,2,1,2,0,0,4
431,Brett Sears,ATL,0,0,4.52,1,1,0,0,,4.2,19,4,3,2,1,1,0,0,4
432,Brant Hurter,DET,2,2,3.83,32,0,0,4,,32,136,31,15,14,4,9,,1,29
433,Nolan McLean,NYM,0,0,4.29,1,1,0,0,,4.2,20,4,2,2,1,2,0,0,4
434,Tekoah Roby,STL,0,0,4.42,1,1,0,0,,4,17,4,2,2,1,1,0,0,3
435,David Davalillo,TEX,0,0,4.78,1,1,0,0,,4.2,19,4,3,2,1,2,0,0,3
436,Drew Rom,STL,0,0,4.53,1,1,0,0,,4.1,19,4,2,2,1,2,0,0,4
437,Mason Marriott,ARI,0,0,4.59,1,1,0,0,,4.1,17,4,2,2,1,2,0,0,3
438,Jack Dreyer,LAD,2,2,3.91,35,0,0,7,,35,147,29,16,15,5,14,,2,36
439,Thomas White,MIA,0,0,4.41,1,1,0,0,,4.1,18,4,2,2,1,2,0,0,4
